brand, total_sales, type
Adidas, 1, NMD
Adidas, 35, NMD
Adidas, 23, NMD
Adidas, 17, NMD
Adidas, 63, NMD
Adidas, 38, NMD
Adidas, 40, NMD
Adidas, 43, NMD
Adidas, 90, NMD
Adidas, 30, NMD
Adidas, 35, NMD
Adidas, 50, NMD
Adidas, 42, NMD
Adidas, 35, NMD
Adidas, 566, NMD
Adidas, 498, NMD
Adidas, 312, NMD
Adidas, 54, NMD
Adidas, 41, NMD
Adidas, 427, NMD
Adidas, 244, NMD
Adidas, 10, NMD
Adidas, 26, NMD
Adidas, 2, NMD
Adidas, 31, NMD
Adidas, 84, NMD
Adidas, 1, NMD
Adidas, 119, NMD
Adidas, 13, NMD
Adidas, 39, NMD
Adidas, 105, NMD
Adidas, 18, NMD
Adidas, 62, NMD
Adidas, 40, NMD
Adidas, 110, NMD
Adidas, 32, NMD
Adidas, 372, NMD
Adidas, 58, NMD
Adidas, 99, NMD
Adidas, 41, NMD
Adidas, 2, NMD
Adidas, 27, NMD
Adidas, 31, NMD
Adidas, 14, NMD
Adidas, 42, NMD
Adidas, 142, NMD
Adidas, 10, NMD
Adidas, 380, NMD
Adidas, 3, NMD
Adidas, 18, NMD
Adidas, 20, NMD
Adidas, 87, NMD
Adidas, 23, NMD
Adidas, 123, NMD
Adidas, 28, NMD
Adidas, 55, NMD
Adidas, 41, NMD
Adidas, 93, NMD
Adidas, 81, NMD
Adidas, 37, NMD
Adidas, 8, NMD
Adidas, 4, NMD
Adidas, 3, NMD
Adidas, 576, NMD
Adidas, 126, NMD
Adidas, 5, NMD
Adidas, 7, NMD
Adidas, 14, NMD
Adidas, 13, NMD
Adidas, 39, NMD
Adidas, 69, NMD
Adidas, 5, NMD
Adidas, 149, NMD
Adidas, 6, NMD
Adidas, 15, NMD
Adidas, 10, NMD
Adidas, 1, NMD
Adidas, 39, NMD
Adidas, 19, NMD
Adidas, 3, NMD
Adidas, 34, NMD
Adidas, 99, NMD
Adidas, 144, NMD
Adidas, 3, NMD
Adidas, 6, NMD
Adidas, 10, NMD
Adidas, 72, NMD
Adidas, 161, NMD
Adidas, 3, NMD
Adidas, 41, NMD
Adidas, 41, NMD
Adidas, 36, NMD
Adidas, 18, NMD
Adidas, 23, NMD
Adidas, 40, NMD
Adidas, 48, NMD
Adidas, 49, NMD
Adidas, 50, NMD
Adidas, 45, NMD
Adidas, 52, NMD
Adidas, 4, NMD
Adidas, 9, NMD
Adidas, 3, NMD
Adidas, 83, NMD
Adidas, 156, NMD
Adidas, 97, NMD
Adidas, 19, NMD
Adidas, 6, NMD
Adidas, 2, NMD
Adidas, 1, NMD
Adidas, 931, NMD
Adidas, 4, NMD
Adidas, 35, NMD
Adidas, 215, NMD
Adidas, 16, NMD
Adidas, 16, NMD
Adidas, 223, NMD
Adidas, 222, NMD
Adidas, 8, NMD
Adidas, 29, NMD
Adidas, 1, NMD
Adidas, 24, NMD
Adidas, 6, NMD
Adidas, 130, NMD
Adidas, 23, NMD
Adidas, 28, NMD
Adidas, 18, NMD
Adidas, 13, NMD
Adidas, 78, NMD
Adidas, 4, NMD
Adidas, 3, NMD
Adidas, 461, NMD
Adidas, 2, NMD
Adidas, 10, NMD
Adidas, 137, NMD
Adidas, 2, NMD
Adidas, 2, NMD
Adidas, 4, NMD
Adidas, 4, NMD
Adidas, 32, NMD
Adidas, 4, NMD
Adidas, 54, NMD
Adidas, 103, NMD
Adidas, 1719, NMD
Adidas, 46, NMD
Adidas, 229, NMD
Adidas, 58, NMD
Adidas, 32, NMD
Adidas, 11, NMD
Adidas, 1, NMD
Adidas, 39, NMD
Adidas, 35, NMD
Adidas, 66, NMD
Adidas, 251, NMD
Adidas, 426, NMD
Adidas, 85, NMD
Adidas, 279, NMD
Adidas, 31, NMD
Adidas, 26, NMD
Adidas, 40, NMD
Adidas, 8, NMD
Adidas, 127, NMD
Adidas, 1, NMD
Adidas, 1, NMD
Adidas, 124, NMD
Adidas, 19, NMD
Adidas, 686, NMD
Adidas, 717, NMD
Adidas, 372, NMD
Adidas, 67, NMD
Adidas, 62, NMD
Adidas, 382, NMD
Adidas, 3049, NMD
Adidas, 149, NMD
Adidas, 42, NMD
Adidas, 12, NMD
Adidas, 339, NMD
Adidas, 92, NMD
Adidas, 147, NMD
Adidas, 3, NMD
Adidas, 62, NMD
Adidas, 46, NMD
Adidas, 27, NMD
Adidas, 640, NMD
Adidas, 257, NMD
Adidas, 32, NMD
Adidas, 6, NMD
Adidas, 69, NMD
Adidas, 191, NMD
Adidas, 96, NMD
Adidas, 33, NMD
Adidas, 59, NMD
Adidas, 12, NMD
Adidas, 7, NMD
Adidas, 67, NMD
Adidas, 15, NMD
Adidas, 21, NMD
Adidas, 12, NMD
Adidas, 3, NMD
Adidas, 106, NMD
Adidas, 24, NMD
Adidas, 4, NMD
Adidas, 214, NMD
Adidas, 7, NMD
Adidas, 3, NMD
Adidas, 3, NMD
Adidas, 1, NMD
Adidas, 32, NMD
Adidas, 4, NMD
Adidas, 1, NMD
Adidas, 26, NMD
Adidas, 6, Other
Adidas, 111, Other
Adidas, 12, Other
Adidas, 10, Other
Adidas, 9, Other
Adidas, 2, Other
Adidas, 6, Other
Adidas, 1, Other
Adidas, 11, Other
Adidas, 4, Other
Adidas, 30, Other
Adidas, 2, Other
Adidas, 7, Other
Adidas, 4, Other
Adidas, 30, Other
Adidas, 1, Other
Adidas, 14, Other
Adidas, 5, Other
Adidas, 68, Other
Adidas, 155, Other
Adidas, 63, Other
Adidas, 17, Other
Adidas, 51, Other
Adidas, 154, Other
Adidas, 249, Other
Adidas, 51, Other
Adidas, 22, Other
Adidas, 15, Other
Adidas, 35, Other
Adidas, 53, Other
Adidas, 119, Other
Adidas, 17, Other
Adidas, 6, Other
Adidas, 69, Other
Adidas, 18, Other
Adidas, 3, Other
Adidas, 4, Other
Adidas, 50, Other
Adidas, 755, Other
Adidas, 1, Other
Adidas, 7, Other
Adidas, 21, Other
Adidas, 17, Other
Adidas, 7, Other
Adidas, 3, Other
Adidas, 1, Other
Adidas, 6, Other
Adidas, 5, Other
Adidas, 5, Other
Adidas, 28, Other
Adidas, 10, Other
Adidas, 24, Other
Adidas, 9, Other
Adidas, 5, Other
Adidas, 1249, Other
Adidas, 121, Other
Adidas, 22, Other
Adidas, 7, Other
Adidas, 8, Other
Adidas, 16, Other
Adidas, 1, Other
Adidas, 13, Other
Adidas, 2, Other
Adidas, 27, Other
Adidas, 9, Other
Adidas, 16, Other
Adidas, 6, Other
Adidas, 1190, Other
Adidas, 426, Other
Adidas, 8, Other
Adidas, 1, Other
Adidas, 4, Other
Adidas, 5, Other
Adidas, 25, Other
Adidas, 8, Other
Adidas, 13, Other
Adidas, 5, Other
Adidas, 215, Other
Adidas, 2, Other
Adidas, 2, Other
Adidas, 12, Other
Adidas, 4, Other
Adidas, 4, Other
Adidas, 4, Other
Adidas, 15, Other
Adidas, 4, Other
Adidas, 5, Other
Adidas, 105, Other
Adidas, 44, Other
Adidas, 9, Other
Adidas, 100, Other
Adidas, 1, Other
Adidas, 9, Other
Adidas, 5, Other
Adidas, 9, Other
Adidas, 12, Other
Adidas, 5, Other
Adidas, 1, Other
Adidas, 2, Other
Adidas, 11, Other
Adidas, 32, Other
Adidas, 11, Other
Adidas, 13, Other
Adidas, 10, Other
Adidas, 8, Other
Adidas, 4, Other
Adidas, 2, Other
Adidas, 1, Other
Adidas, 4, Other
Adidas, 10, Other
Adidas, 8, Other
Adidas, 24, Other
Adidas, 7, Other
Adidas, 4, Other
Adidas, 75, Other
Adidas, 159, Other
Adidas, 523, Other
Adidas, 96, Other
Adidas, 110, Other
Adidas, 340, Other
Adidas, 276, Other
Adidas, 48, Other
Adidas, 2, Other
Adidas, 7, Other
Adidas, 432, Other
Adidas, 146, Other
Adidas, 1, Other
Adidas, 10, Other
Adidas, 3, Other
Adidas, 1, Other
Adidas, 24, Harden
Adidas, 4, Harden
Adidas, 4, Other
Adidas, 9, Other
Adidas, 18, Other
Adidas, 46, Other
Adidas, 11, Other
Adidas, 2, Other
Adidas, 2, Dame
Adidas, 8, Dame
Adidas, 1, Dame
Adidas, 2245, Dame
Adidas, 22, Dame
Adidas, 9, Dame
Adidas, 3, Dame
Adidas, 72, Other
Adidas, 3, Other
Adidas, 14, Other
Adidas, 2, Other
Adidas, 4, Other
Adidas, 124, Other
Adidas, 5, Other
Adidas, 181, Other
Adidas, 18, Other
Adidas, 1, Other
Adidas, 124, Other
Adidas, 1730, Other
Adidas, 1, Other
Adidas, 307, Other
Adidas, 103, Other
Adidas, 8, Other
Adidas, 40, Other
Adidas, 46, Other
Adidas, 3, Other
Adidas, 1, Other
Adidas, 3, Other
Adidas, 3, Other
Adidas, 9, Other
Adidas, 12, Other
Adidas, 5, Other
Adidas, 38, Other
Adidas, 22, Other
Adidas, 14, Other
Adidas, 30, Other
Adidas, 32, Other
Adidas, 46, Other
Adidas, 67, Other
Adidas, 6, Other
Adidas, 21, Other
Adidas, 34, Other
Adidas, 8, Other
Adidas, 76, Other
Adidas, 6, Other
Adidas, 6, Other
Adidas, 19, Other
Adidas, 30, Other
Adidas, 23, Other
Adidas, 4, Other
Adidas, 16, Other
Adidas, 55, Other
Adidas, 27, Other
Adidas, 21, Other
Adidas, 40, Other
Adidas, 3, Other
Adidas, 193, Other
Adidas, 3, Other
Adidas, 4, Other
Adidas, 421, Other
Adidas, 122, Other
Adidas, 154, Other
Adidas, 49, Other
Adidas, 194, Other
Adidas, 27, Other
Adidas, 144, Other
Adidas, 52, Other
Adidas, 407, Other
Adidas, 47, Other
Adidas, 20, Other
Adidas, 1185, Other
Adidas, 127, Other
Adidas, 27, Other
Adidas, 185, Other
Adidas, 252, Other
Adidas, 9, Other
Adidas, 2, Other
Adidas, 1, Other
Adidas, 5, Other
Adidas, 91, Other
Adidas, 1, Other
Adidas, 15, Other
Adidas, 1, Other
Adidas, 10, Other
Adidas, 4, Other
Adidas, 87, Other
Adidas, 39, Other
Adidas, 26, Other
Adidas, 13, Other
Adidas, 126, Other
Adidas, 12, Other
Adidas, 13, Other
Adidas, 7, Other
Adidas, 33, Other
Adidas, 11, Other
Adidas, 31, Other
