type, total_sales
Kobe, 21
1, 662
NMD, 3
4, 25
Other, 2
Other, 38
Air Max, 97
Other, 2
SB, 3
Other, 1
Basketball, 196
Other, 943
Kobe, 44
Reebok, 4
Other, 441
Lebron, 46
Basketball, 17
Lebron, 102
11, 286
Li-Ning, 1
Vans, 3
New Balance, 1
Air Force, 10
SB, 6
Vans, 11
Kobe, 23
KD, 19
Air Max, 39
1, 53
Basketball, 17
Puma, 6
16-33, 18
Basketball, 56
12, 42
Asics, 5
Spizike, 121
Yeezy, 33059
Basketball, 12
Lebron, 4
5, 67
5, 531
Other, 3
Kobe, 109
Other, 5
Other, 5
1, 86
Other, 10
Air Max, 39
16-33, 1
Other, 6
Vans, 72
SB, 179
Air Max, 1
10, 155
NMD, 149
Lebron, 22
Asics, 4
Other, 8
Vans, 1
Air Max, 71
Air Force, 1
11, 32
Air Force, 3
1, 8
1, 106
Kobe, 133
16-33, 77
Other, 8
Vans, 2
1, 34
Kobe, 60
7, 222
Reebok, 1
Basketball, 1
7, 197
Basketball, 5
New Balance, 2
SB, 25
16-33, 147
NMD, 10
Lebron, 4
SB, 5
SB, 11
Air Force, 4
Other, 2
Basketball, 1
Other, 9
Lebron, 13
Asics, 8
Air Force, 69
KD, 1
1, 14
Ultraboost, 105
Air Force, 12
NMD, 15
Vans, 3
Other, 4
1, 97
Reebok, 14
Kobe, 2
Air Max, 177
Kobe, 70
Air Force, 42
Kobe, 1
Converse, 19
1, 1352
Vans, 10
SB, 11
Ultraboost, 6
Other, 1
Other, 12
Air Max, 63
Foamposite, 2
11, 11
11, 21
KD, 16
Louis Vuitton, 2
Converse, 4
Other, 194
KD, 11
NMD, 28
11, 657
14, 16
Asics, 1
Kobe, 3
Other, 1
Air Max, 5
Reebok, 2
NMD, 46
Under Armour, 11
4, 9
Vans, 6
Diadora, 34
1, 39
NMD, 345
8, 2081
NMD, 67
Air Max, 17
Kobe, 6
SB, 9
Puma, 1
SB, 47
1, 6
Other, 67
Vans, 3
Ultraboost, 7
Other, 121
New Balance, 3
Under Armour, 1
Lebron, 1
5, 9
3, 2
Other, 148
Air Max, 161
Basketball, 2
Basketball, 3
New Balance, 4
Foamposite, 83
8, 81
Other, 124
1, 12
Other, 4
New Balance, 1
SB, 5
Air Force, 4
Other, 22
Basketball, 28
Air Max, 42
3, 68
1, 24
2, 272
12, 104
Air Max, 1
Other, 1
KD, 7
Puma, 9
11, 573
New Balance, 15
Other, 4
6, 19
Asics, 34
Ultraboost, 1
Reebok, 1
Puma, 54
1, 702
Reebok, 5
Other, 7
Air Max, 67
Other, 4
Foamposite, 3
Air Force, 2
Air Force, 4
SB, 2
16-33, 26
16-33, 64
Foamposite, 45
Other, 14
SB, 11
SB, 9
Other, 25
NMD, 66
Basketball, 15
Air Force, 161
Reebok, 2
Under Armour, 2
1, 27
SB, 22
Vans, 1
SB, 3
Vans, 6
Basketball, 2
Puma, 5
SB, 27
SB, 13
4, 753
Converse, 11
Air Force, 4
SB, 17
Other, 23
Other, 71
13, 49
Other, 26
Other, 17
Diadora, 16
Lebron, 33
Asics, 18
Basketball, 3003
New Balance, 5
4, 631
Ultraboost, 2
Kobe, 10
Other, 8
SB, 10
Kobe, 84
Lebron, 37
4, 29
Kobe, 53
11, 1191
Basketball, 17
Other, 8
14, 786
Lebron, 3
Other, 87
Basketball, 3
Reebok, 10
Basketball, 1167
Air Max, 426
Kobe, 10
Other, 3
Basketball, 471
Lebron, 1
Other, 1
SB, 4
Saucony, 3
Air Force, 43
1, 128
1, 77
Ultraboost, 879
1, 13
Iniki, 12
Other, 9
11, 13
KD, 8
Other, 5
Air Max, 82
Air Force, 2
Other, 5
Vans, 3
NMD, 776
16-33, 22
Basketball, 6
Converse, 5
Converse, 21
Air Force, 2642
Lebron, 26
SB, 20
Under Armour, 4
Air Max, 18
Lebron, 464
Air Max, 184
Air Force, 19
16-33, 10
Air Max, 4
Basketball, 2113
Air Force, 20
Air Max, 529
2, 45
Air Force, 8
Air Force, 14
4, 431
Puma, 5
Air Force, 23
Air Force, 2
Air Max, 16
Air Max, 1084
Other, 9
SB, 12
Puma, 1
Basketball, 9
Other, 24
Ultraboost, 3
Basketball, 769
16-33, 45
Other, 1
16-33, 5
New Balance, 1
Air Max, 36
Under Armour, 1
Iniki, 211
Diadora, 1
Other, 4
Ultraboost, 39
1, 102
Basketball, 38
Air Max, 68
Basketball, 5
Converse, 60
SB, 4
SB, 2
7, 268
SB, 21
Other, 2
Other, 7
Other, 1
16-33, 24
Ultraboost, 78
8, 705
1, 130
Converse, 1863
New Balance, 20
Air Max, 286
NMD, 9
Other, 18
Basketball, 33
Ultraboost, 1
14, 143
16-33, 32
Vans, 2
13, 120
KD, 4
SB, 61
Other, 55
5, 262
Kobe, 2
Basketball, 83
Other, 334
Air Max, 5
Ultraboost, 11
Air Force, 4
12, 27
Ultraboost, 34
SB, 63
12, 59
6, 14
KD, 5
Kobe, 22
Puma, 8
NMD, 52
1, 5
Other, 2
Other, 153
SB, 145
1, 42
Other, 23
Saucony, 4
Other, 76
Asics, 26
New Balance, 3
Asics, 1
New Balance, 1
Other, 15
Air Max, 7
Lebron, 58
Air Max, 1
1, 29
8, 16
Ultraboost, 129
Other, 81
Balenciaga, 19
Other, 6
Foamposite, 1
Air Force, 29
Lebron, 31
12, 182
Air Max, 37
Air Max, 139
Air Force, 206
Converse, 1
Air Max, 94
Air Max, 8
Basketball, 42
Basketball, 28
SB, 14
1, 1
Air Max, 41
Puma, 9
KD, 15
6, 23
NMD, 269
New Balance, 4
SB, 193
12, 21
Lebron, 3
SB, 1
Puma, 2
New Balance, 3
1, 1287
Reebok, 238
Other, 141
Air Max, 94
Converse, 3
Diadora, 8
Air Force, 1
Other, 80
Ultraboost, 1890
Other, 3
Air Force, 1345
New Balance, 4
Other, 38
SB, 9
Ultraboost, 3
1, 176
10, 34
NMD, 49
SB, 7
Air Force, 719
Other, 2
Other, 6
5, 22
Air Max, 2
Other, 1
Converse, 5
1, 43
Basketball, 204
Other, 46
8, 21
Reebok, 7
Kobe, 52
Kobe, 22
Vans, 1
New Balance, 2
Basketball, 2
Other, 41
Lebron, 13
Vans, 1
New Balance, 1
13, 3
Basketball, 1
3, 332
Air Max, 117
Air Force, 512
Air Max, 5198
Kobe, 20
Basketball, 15
New Balance, 13
Air Force, 4506
Other, 3
Reebok, 1
KD, 40
1, 7819
NMD, 35
11, 51
Other, 82
SB, 139
3, 128
Vans, 7
12, 20
Converse, 72
Lebron, 2
Converse, 420
NMD, 39
Spizike, 24
Air Force, 2
10, 26
1, 311
Asics, 1
12, 3
Other, 5
4, 1
16-33, 42
16-33, 5
Air Force, 1
Asics, 3
16-33, 7
Air Force, 7
7, 68
Basketball, 687
Other, 15
Vans, 1
Puma, 1
10, 2
10, 221
Vans, 13
Other, 1
Basketball, 2
SB, 106
SB, 22
Under Armour, 1
KD, 66
Reebok, 2
SB, 63
Iniki, 224
Other, 1
Reebok, 6
1, 7
1, 17
Kobe, 1
Ultraboost, 39
Basketball, 60
SB, 2
7, 38
Lebron, 67
Air Force, 231
Basketball, 132
Air Max, 11
Asics, 4
Lebron, 30
KD, 5
Asics, 56
7, 8
6, 7
Saucony, 1
Air Max, 217
12, 267
Basketball, 29
16-33, 110
Other, 4
Ultraboost, 22
Vans, 57
Air Force, 1
13, 772
1, 3
NMD, 24
Other, 7
Air Max, 166
Other, 10
SB, 50
Basketball, 64
Foamposite, 99
NMD, 168
