brand, total_sales, type
Nike, 12, Air Force
Nike, 5, Air Force
Nike, 3, Air Force
Nike, 8, Air Max
Nike, 25, Air Max
Nike, 51, Air Max
Nike, 998, Air Max
Nike, 837, Air Max
Nike, 69, Air Max
Nike, 3264, Air Max
Nike, 1047, Air Max
Nike, 60, Air Max
Nike, 6455, Air Max
Nike, 509, Air Max
Nike, 221, Air Max
Nike, 75, Air Max
Nike, 26, Air Max
Nike, 7, Air Max
Nike, 8, Air Max
Nike, 1, Air Max
Nike, 4, Air Max
Nike, 211, Air Max
Nike, 21, Air Max
Nike, 1, Air Max
Nike, 59, Air Max
Nike, 976, Air Max
Nike, 72, Air Max
Nike, 341, Air Max
Nike, 491, Air Max
Nike, 82, Air Max
Nike, 95, Air Max
Nike, 70, Air Max
Nike, 57, Air Max
Nike, 39, Air Max
Nike, 31, Air Max
Nike, 8, Air Max
Nike, 17, Air Max
Nike, 27, Air Max
Nike, 1, Air Max
Nike, 14, Air Max
Nike, 184, Air Max
Nike, 126, Air Max
Nike, 79, Air Max
Nike, 17, Air Max
Nike, 161, Air Max
Nike, 286, Air Max
Nike, 47, Air Max
Nike, 27, Air Max
Nike, 790, Air Max
Nike, 943, Air Max
Nike, 210, Air Max
Nike, 45, Air Max
Nike, 123, Air Max
Nike, 40, Air Max
Nike, 18, Air Max
Nike, 1, Air Max
Nike, 1, Air Max
Nike, 3463, Air Max
Nike, 33, Air Max
Nike, 11, Air Max
Nike, 4, Air Max
Nike, 42, Air Max
Nike, 6, Air Max
Nike, 421, Air Max
Nike, 151, Air Max
Nike, 133, Air Max
Nike, 9, Air Max
Nike, 143, Air Max
Nike, 18, Air Max
Nike, 19, Air Max
Nike, 9, Air Max
Nike, 199, Air Max
Nike, 4, Air Max
Nike, 331, Air Max
Nike, 66, Air Max
Nike, 17, Air Max
Nike, 54, Air Max
Nike, 9, Air Max
Nike, 8, Air Max
Nike, 27, Air Max
Nike, 2, Air Max
Nike, 5, Air Max
Nike, 1, Air Max
Nike, 3, Air Max
Nike, 68, Air Max
Nike, 219, Air Max
Nike, 166, Air Max
Nike, 9976, Air Max
Nike, 847, Air Max
Nike, 36, Air Max
Nike, 159, Air Max
Nike, 168, Air Max
Nike, 323, Air Max
Nike, 183, Air Max
Nike, 5, Air Max
Nike, 23, Air Max
Nike, 143, Air Max
Nike, 2, Air Max
Nike, 928, Air Max
Nike, 45, Air Max
Nike, 60, Air Max
Nike, 65, Air Max
Nike, 20, Air Max
Nike, 16, Air Max
Nike, 21, Air Max
Nike, 4, Air Max
Nike, 14, Air Max
Nike, 40, Air Max
Nike, 175, Air Max
Nike, 920, Air Max
Nike, 103, Air Max
Nike, 106, Air Max
Nike, 16, Air Max
Nike, 128, Air Max
Nike, 271, Air Max
Nike, 124, Air Max
Nike, 423, Air Max
Nike, 86, Air Max
Nike, 5, Air Max
Nike, 76, Air Max
Nike, 67, Air Max
Nike, 194, Air Max
Nike, 75, Air Max
Nike, 545, Air Max
Nike, 20, Air Max
Nike, 1489, Air Max
Nike, 23, Air Max
Nike, 59, Air Max
Nike, 2, Air Max
Nike, 2, Air Max
Nike, 52, Air Max
Nike, 80, Air Max
Nike, 12, Air Max
Nike, 5, Air Max
Nike, 22, Air Max
Nike, 37, Air Max
Nike, 1, Air Max
Nike, 41, Air Max
Nike, 203, Air Max
Nike, 1382, Air Max
Nike, 110, Air Max
Nike, 138, Air Max
Nike, 13, Air Max
Nike, 191, Air Max
Nike, 13, Air Max
Nike, 80, Air Max
Nike, 173, Air Max
Nike, 11, Air Max
Nike, 24, Air Max
Nike, 40, Air Max
Nike, 47, Air Max
Nike, 223, Air Max
Nike, 400, Air Max
Nike, 17, Air Max
Nike, 74, Air Max
Nike, 7, Air Max
Nike, 175, Air Max
Nike, 116, Air Max
Nike, 172, Air Max
Nike, 94, Air Max
Nike, 44, Air Max
Nike, 15, Air Max
Nike, 27, Air Max
Nike, 23, Air Max
Nike, 6, Air Max
Nike, 40, Air Max
Nike, 151, Air Max
Nike, 28, Air Max
Nike, 7, Air Max
Nike, 45, Air Max
Nike, 13, Air Max
Nike, 2, Air Max
Nike, 85, Air Max
Nike, 14, Air Max
Nike, 82, Air Max
Nike, 2, Air Max
Nike, 58, Air Max
Nike, 121, Air Max
Nike, 24, Air Max
Nike, 47, Air Max
Nike, 984, Air Max
Nike, 65, Air Max
Nike, 14, Air Max
Nike, 309, Air Max
Nike, 37, Air Max
Nike, 2, Air Max
Nike, 914, Air Max
Nike, 379, Air Max
Nike, 26, Air Max
Nike, 45, Air Max
Nike, 47, Air Max
Nike, 31, Air Max
Nike, 13, Air Max
Nike, 53, Air Max
Nike, 20, Air Max
Nike, 3, Air Max
Nike, 858, Air Max
Nike, 38, Air Max
Nike, 5, Air Max
Nike, 87, Air Max
Nike, 45, Air Max
Nike, 49, Air Max
Nike, 16, Air Max
Nike, 56, Air Max
Nike, 166, Air Max
Nike, 3, Air Max
Nike, 3, Air Max
Nike, 1, Air Max
Nike, 5, Air Max
Nike, 12, Air Max
Nike, 3, Air Max
Nike, 1, Air Max
Nike, 49, Air Max
Nike, 389, Air Max
Nike, 117, Air Max
Nike, 67, Air Max
Nike, 6, Air Max
Nike, 4, Air Max
Nike, 8, Air Max
Nike, 41, Air Max
Nike, 2, Air Max
Nike, 152, Air Max
Nike, 1, Air Max
Nike, 40, Air Max
Nike, 120, Air Max
Nike, 1, Air Max
Nike, 6, Air Max
Nike, 97, Air Max
Nike, 7, Air Max
Nike, 2, Air Max
Nike, 112, Air Max
Nike, 23, Air Max
Nike, 70, Air Max
Nike, 43, Air Max
Nike, 7, Air Max
Nike, 369, Air Max
Nike, 45, Air Max
Nike, 4, Air Max
Nike, 1, Air Max
Nike, 6, Air Max
Nike, 81, Air Max
Nike, 5, Air Max
Nike, 37, Air Max
Nike, 5, Air Max
Nike, 38, Air Max
Nike, 34, Air Max
Nike, 10, Air Max
Nike, 1, Air Max
Nike, 2, Air Max
Nike, 507, Air Max
Nike, 2, Air Max
Nike, 6, Air Max
Nike, 5, Air Max
Nike, 23, Air Max
Nike, 770, Air Max
Nike, 63, Air Max
Nike, 2, Air Max
Nike, 18, Air Max
Nike, 42, Air Max
Nike, 927, Air Max
Nike, 635, Air Max
Nike, 31, Air Max
Nike, 77, Air Max
Nike, 10, Air Max
Nike, 62, Air Max
Nike, 193, Air Max
Nike, 148, Air Max
Nike, 29, Air Max
Nike, 18, Air Max
Nike, 42, Air Max
Nike, 13, Air Max
Nike, 35, Air Max
Nike, 252, Air Max
Nike, 74, Air Max
Nike, 162, Air Max
Nike, 628, Air Max
Nike, 18, Air Max
Nike, 91, Air Max
Nike, 9, Air Max
Nike, 4, Air Max
Nike, 48, Air Max
Nike, 68, Air Max
Nike, 76, Air Max
Nike, 11, Air Max
Nike, 35, Air Max
Nike, 1, Air Max
Nike, 5, Air Max
Nike, 123, Air Max
Nike, 24, Air Max
Nike, 9, Air Max
Nike, 10, Air Max
Nike, 7, Air Max
Nike, 73, Air Max
Nike, 13, Air Max
Nike, 106, Air Max
Nike, 21, Air Max
Nike, 38, Air Max
Nike, 18, Air Max
Nike, 248, Air Max
Nike, 77, Air Max
Nike, 13, Air Max
Nike, 28, Air Max
Nike, 28, Air Max
Nike, 488, Air Max
Nike, 15, Air Max
Nike, 94, Air Max
Nike, 226, Air Max
Nike, 6, Air Max
Nike, 26, Air Max
Nike, 13, Air Max
Nike, 346, Air Max
Nike, 283, Air Max
Nike, 277, Air Max
Nike, 214, Air Max
Nike, 1596, Air Max
Nike, 225, Air Max
Nike, 373, Air Max
Nike, 4, Air Max
Nike, 62, Air Max
Nike, 353, Air Max
Nike, 127, Air Max
Nike, 22, Air Max
Nike, 26, Air Max
Nike, 4101, Air Max
Nike, 662, Air Max
Nike, 79, Air Max
Nike, 199, Air Max
Nike, 11, Air Max
Nike, 479, Air Max
Nike, 208, Air Max
Nike, 969, Air Max
Nike, 1288, Air Max
Nike, 954, Air Max
Nike, 107, Air Max
Nike, 295, Air Max
Nike, 455, Air Max
Nike, 133, Air Max
Nike, 159, Air Max
Nike, 141, Air Max
Nike, 101, Air Max
Nike, 740, Air Max
Nike, 135, Air Max
Nike, 109, Air Max
Nike, 522, Air Max
Nike, 306, Air Max
Nike, 353, Air Max
Nike, 778, Air Max
Nike, 610, Air Max
Nike, 2252, Air Max
Nike, 338, Air Max
Nike, 92, Air Max
Nike, 43, Air Max
Nike, 67, Air Max
Nike, 107, Air Max
Nike, 796, Air Max
Nike, 463, Air Max
Nike, 12, Air Max
Nike, 2, Air Max
Nike, 24, Air Max
Nike, 72, Air Max
Nike, 408, Air Max
Nike, 34, Air Max
Nike, 242, Air Max
Nike, 23, Air Max
Nike, 21, Air Max
Nike, 13, Air Max
Nike, 23, Air Max
Nike, 44, Air Max
Nike, 3, Air Max
Nike, 588, Air Max
