pk, brand, type, name, colorway, image, release_date, retail_price, ticker, total_sales, url, year_high, year_low, avg_sale_price, premium
789, Adidas, NMD, adidas NMD Hu Pharrell Solar Pack Mother, White/Pink/Yellow, https://stockx-360.imgix.net/Adidas-NMD-Hu-Pharrell-Mother/Images/Adidas-NMD-Hu-Pharrell-Mother/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-18, 250, NMDHU-MTHR, 3049, https://www.stockx.com/adidas-nmd-hu-pharrell-mother, 475, 140, 251, 0
792, Jordan, 1, Jordan 1 Retro High Guava Ice, Guava Ice/Sail, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-Guava-Ice/Images/Air-Jordan-1-Retro-High-Guava-Ice/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-09-01, 160, AJ1H-GVAIC, 1016, https://www.stockx.com/air-jordan-1-retro-high-guava-ice, 250, 60, 111, -100
922, Jordan, 3, Jordan 3 Retro Sport Blue, Black/Sport Blue-Wolf Grey, https://stockx-360.imgix.net/Air-Jordan-3-Retro-Sport-Blue/Images/Air-Jordan-3-Retro-Sport-Blue/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2014-08-16, 170, AJ3-SPBLU, 707, https://www.stockx.com/jordan-3-retro-sport-blue, 320, 116, 205, 0
933, Jordan, 1, Jordan 1 Retro High Homage To Home Chicago (Numbered), Black/University Red-White, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-Homage-To-Home/Images/Air-Jordan-1-Retro-High-Homage-To-Home/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-21, 160, AJ1H-H2H, 1076, https://www.stockx.com/air-jordan-1-retro-high-homage-to-home, 1330, 250, 764, 300
950, Nike, Air Max, Air Max 98 Tidal Wave, Pure Platinum/Obsidian-Kinetic Green-Sunset Blast, https://stockx-360.imgix.net/Nike-Air-Max-98-South-Beach/Images/Nike-Air-Max-98-South-Beach/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-01, 160, AM98-TDLWV, 1163, https://www.stockx.com/nike-air-max-98-south-beach, 285, 90, 182, 0
967, Jordan, 4, Jordan 4 Retro Hot Punch (W), Hot Punch/Black-Volt, https://stockx.imgix.net/Air-Jordan-4-Retro-Hot-Punch-W.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1546972291, 2018-01-19, 190, AJ4-HPW, 618, https://www.stockx.com/air-jordan-4-retro-hot-punch-w, 250, 139, 170, -100
989, Nike, Air Max, Air VaporMax 97 Japan, Black/Volt-Metallic Silver-White, https://stockx-360.imgix.net/Nike-Air-VaporMax-97-Japan/Images/Nike-Air-VaporMax-97-Japan/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-03-09, 190, VPRMX97-JAPAN, 1289, https://www.stockx.com/nike-air-vapormax-97-japan, 350, 120, 177, -100
1029, Adidas, Ultraboost, adidas Ultra Boost Clima Parley White Blue, Footwear White/Footwear White/Blue, https://stockx-360.imgix.net/Adidas-Ultra-Boost-Clima-Parley-White-Blue/Images/Adidas-Ultra-Boost-Clima-Parley-White-Blue/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-06-08, 200, AD-UBCPWTBL, 767, https://www.stockx.com/adidas-ultra-boost-clima-parley-white-blue, 225, 60, 119, -100
1046, Adidas, NMD, adidas Pharrell NMD HU China Pack Passion (Red), Red/White, https://stockx-360.imgix.net/Adidas-Pharrell-NMD-HU-China-Pack-Passion-Red/Images/Adidas-Pharrell-NMD-HU-China-Pack-Passion-Red/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-05-12, 250, ADINMDHUPW-PSSN, 686, https://www.stockx.com/adidas-nmd-hu-china-pack-passion-red, 1500, 250, 445, 0
1048, Nike, Air Force, Air Force 270 Phantom, Phantom/Leche Blue-Pure Platinum-White, https://stockx-360.imgix.net/nike-air-force-270-phantom_TruView/Images/nike-air-force-270-phantom_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-02-10, 160, AF270-PHNTM, 628, https://www.stockx.com/nike-air-force-270-phantom, 425, 55, 200, 0
1053, Nike, Air Force, Air Force 1 Low Swoosh Pack All-Star 2018 (Sail), Sail/Sail-Sail, https://stockx-360.imgix.net/Nike-Air-Force-1-Low-All-Star-2018-Sail/Images/Nike-Air-Force-1-Low-All-Star-2018-Sail/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-02-15, 110, AF1L-AS18SAIL, 990, https://www.stockx.com/nike-air-force-1-low-all-star-2018-sail, 450, 100, 183, 0
1070, Jordan, 1, Jordan 1 Retro High Shadow (2018), Black/Medium Grey-White, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-Shadow-2018/Images/Air-Jordan-1-Retro-High-Shadow-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-14, 160, AJ1H-SHDW18, 25973, https://www.stockx.com/air-jordan-1-retro-high-shadow-2018, 439, 100, 211, 0
1081, Nike, Air Max, Air Max 97 Silver White, White/Varsity Red-Metallic Silver-Black, https://stockx-360.imgix.net/Nike-Air-Max-97-Silver-White/Images/Nike-Air-Max-97-Silver-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546674477, 2018-11-09, 180, AM97-SLVWHT, 778, https://www.stockx.com/nike-air-max-97-silver-white, 250, 91, 138, -100
1104, Adidas, Ultraboost, adidas Ultra Boost 4.0 Legend Ink, Carbon/Legend Ink/Core Black, https://stockx.imgix.net/Adidas-Ultra-Boost-4-Legend-Ink.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-01-01, 180, AD-UB4LI, 510, https://www.stockx.com/adidas-ultra-boost-4-legend-ink, 216, 80, 141, -100
1127, Adidas, NMD, adidas NMD XR1 OG Black, Core Black/Core Black/Footwear White, https://stockx-360.imgix.net/Adidas-NMD-XR1-OG-Black/Images/Adidas-NMD-XR1-OG-Black/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1543952710, 2017-05-20, 150, ADINMDX-OGBLK, 1719, https://www.stockx.com/adidas-nmd-xr1-og-black, 350, 90, 151, 0
1130, Nike, Air Max, Air Max 97 Pull Tab Obsidian White, Obsidian/University Red-Sail-Blue Nebula, https://stockx-360.imgix.net/Nike-Air-Max-97-Pull-Tab-Obsidian-White/Images/Nike-Air-Max-97-Pull-Tab-Obsidian-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546674388, 2018-05-01, 170, AM97-PTOBSDNWHT, 740, https://www.stockx.com/nike-air-max-97-pull-tab-obsidian-white, 265, 120, 168, -100
1146, Nike, Lebron, LeBron Icon John Elliott White, White/Black, https://stockx-360.imgix.net/Nike-LeBron-Icon-John-Elliott-White/Images/Nike-LeBron-Icon-John-Elliott-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-04, 250, LICN-JEWHT, 1321, https://www.stockx.com/nike-lebron-icon-john-elliott-white, 700, 150, 318, 0
1176, Adidas, Yeezy, adidas Yeezy Boost 350 V2 Black Red, Core Black/Core Black/Red, https://stockx-360.imgix.net/Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017/Images/Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-02-11, 220, AD-YB350V2CBR17, 2718, https://www.stockx.com/adidas-yeezy-boost-350-v2-core-black-red-2017, 1600, 625, 808, 200
1180, Nike, Air Max, Air Max 98 Gundam (2018), White/University Red-Obsidian-Metallic Silver-Game Royal-Black, https://stockx-360.imgix.net/Nike-Air-Max-98-Gundam-2018/Images/Nike-Air-Max-98-Gundam-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1545234294, 2018-01-26, 160, AM98-GNDM18, 1565, https://www.stockx.com/nike-air-max-98-gundam-2018, 450, 180, 280, 0
1194, Jordan, 8, Jordan 8 Retro OVO White, White/Blue-Metallic Gold-Varsity Red, https://stockx-360.imgix.net/Air-Jordan-8-Retro-Ovo-White_TruView/Images/Air-Jordan-8-Retro-Ovo-White_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1549050224, 2018-02-16, 225, AJ8-OVOWHT, 2161, https://www.stockx.com/air-jordan-8-retro-ovo-white, 999, 190, 288, 0
1219, Jordan, 1, Jordan 1 Retro Reverse Shattered Backboard, Sail/Starfish-Black, https://stockx-360.imgix.net/air-jordan-1-retro-reverse-shattered-backboard_TruView/Images/air-jordan-1-retro-reverse-shattered-backboard_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2016-10-08, 160, AJ1-RVSESBB, 662, https://www.stockx.com/air-jordan-1-retro-reverse-shattered-backboard, 850, 277, 477, 100
