brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, -24.4, 13, 189
Nike, Air Force, -32.5, 11, 81
Nike, Air Force, 48.89, 7, 134
Nike, Air Force, 11.2, 43, 139
Nike, Air Force, 65, 8, 132
Nike, Air Force, 108, 10, 156
Nike, Air Force, 31.54, 8, 171
Nike, Air Force, 62.5, 1, 130
Nike, Air Force, 160, 73, 312
Nike, Air Force, 42.5, 6, 114
Nike, Air Force, -27.33, 210, 109
Nike, Air Force, 139.17, 20, 287
Nike, Air Force, 83.33, 12, 220
Nike, Air Force, -17.6, 6, 103
Nike, Air Force, 4.62, 64, 136
Nike, Air Force, 42.31, 50, 185
Nike, Air Force, -3.23, 1, 300
Nike, Air Force, -17.39, 21, 95
Nike, Air Force, 0, 12, 115
Nike, Air Force, -72.95, 13, 541
Nike, Air Force, -15.56, 1, 76
Nike, Air Force, 62.5, 10, 325
Nike, Air Force, 10, 1, 110
Nike, Air Force, -27.78, 1, 65
Nike, Air Force, -12.22, 23, 79
Nike, Air Force, -5, 52, 95
Nike, Air Force, -1.33, 3, 148
Nike, Air Force, 16.06, 11, 289
Nike, Air Force, 41.11, 37, 127
Nike, Air Force, 34, 141, 134
Nike, Air Force, -5.88, 2, 80
Nike, Air Force, -27, 43, 73
Nike, Air Force, -4, 19, 96
Nike, Air Force, -6, 29, 94
Nike, Air Force, -7, 35, 93
Nike, Air Force, 31, 84, 131
Nike, Air Force, -23.75, 16, 122
Nike, Air Force, -30, 2, 140
Nike, Air Force, -11.67, 68, 106
Nike, Air Force, -34.67, 22, 98
Nike, Air Force, -18.18, 2, 225
Nike, Air Force, 72.36, 3, 474
Nike, Air Force, -14.67, 2, 128
Nike, Air Force, 12.5, 1, 90
Nike, Air Force, 73.33, 52, 260
Nike, Air Force, -14.17, 11, 103
Nike, Air Force, 111.11, 1, 190
Nike, Air Force, 485.29, 854, 995
Nike, Air Force, 198.82, 3798, 508
Nike, Air Force, 90, 269, 95
Nike, Air Force, 123.08, 646, 145
Nike, Air Force, 130, 3947, 391
Nike, Air Force, 90, 285, 95
Nike, Air Force, 129.23, 719, 149
Nike, Air Force, 46.67, 3, 132
Nike, Air Force, -4.55, 2, 105
Nike, Air Force, 30, 9, 130
Nike, Air Force, 4, 7, 130
Nike, Air Force, -38.89, 4, 55
Nike, Air Force, 9.09, 1, 120
Nike, Air Force, -13, 9, 87
Nike, Air Force, 44, 8, 144
Nike, Air Force, -13.33, 1, 65
Nike, Air Force, 90, 984, 380
Nike, Air Force, -76.88, 1, 37
Nike, Air Force, -4.55, 5, 105
Nike, Air Force, 20, 7, 156
Nike, Air Force, -47.33, 8, 79
Nike, Air Force, 34, 54, 134
Nike, Air Force, 26, 18, 126
Nike, Air Force, 22, 48, 122
Nike, Air Force, 30, 1, 130
Nike, Air Force, 13, 33, 113
Nike, Air Force, 11, 30, 111
Nike, Air Force, 26.15, 189, 164
Nike, Air Force, 2.67, 931, 154
Nike, Air Force, -14.62, 223, 111
Nike, Air Force, -30, 2, 70
