brand, total_sales, type
Jordan, 82, 1
Jordan, 8, 1
Jordan, 1461, 1
Jordan, 239, 1
Jordan, 912, 1
Jordan, 311, 1
Jordan, 12, 1
Jordan, 18, 1
Jordan, 112, 1
Jordan, 215, 1
Jordan, 13, 1
Jordan, 130, 1
Jordan, 813, 1
Jordan, 10, 1
Jordan, 11, 1
Jordan, 52, 1
Jordan, 2, 1
Jordan, 555, 1
Jordan, 27, 1
Jordan, 49, 1
Jordan, 16, 1
Jordan, 2, 1
Jordan, 1009, 1
Jordan, 1808, 1
Jordan, 96, 1
Jordan, 176, 1
Jordan, 185, 1
Jordan, 1, 1
Jordan, 12, 1
Jordan, 120, 1
Jordan, 14, 1
Jordan, 258, 1
Jordan, 17, 1
Jordan, 12, 1
Jordan, 211, 1
Jordan, 11, 1
Jordan, 473, 1
Jordan, 209, 1
Jordan, 843, 1
Jordan, 7, 1
Jordan, 1, 1
Jordan, 3, 1
Jordan, 1, 1
Jordan, 25, 1
Jordan, 189, 1
Jordan, 488, 1
Jordan, 19, 1
Jordan, 2, 1
Jordan, 68, 1
Jordan, 23, 1
Jordan, 105, 1
Jordan, 10, 1
Jordan, 8002, 1
Jordan, 1, 1
Jordan, 977, 1
Jordan, 4811, 1
Jordan, 660, 1
Jordan, 1016, 1
Jordan, 1817, 1
Jordan, 1307, 1
Jordan, 1139, 1
Jordan, 1000, 1
Jordan, 573, 1
Jordan, 389, 1
Jordan, 19, 1
Jordan, 149, 1
Jordan, 4, 1
Jordan, 6, 1
Jordan, 55, 1
Jordan, 1, 1
Jordan, 14, 1
Jordan, 29, 1
Jordan, 2, 1
Jordan, 2, 1
Jordan, 11, 1
Jordan, 2, 1
Jordan, 1, 1
Jordan, 5, 1
Jordan, 1, 1
Jordan, 1, 1
Jordan, 2, 1
Jordan, 2, 1
Jordan, 2, 1
Jordan, 5, 1
Jordan, 1, 1
Jordan, 8, 1
Jordan, 50, 1
Jordan, 5, 1
Jordan, 8, 1
Jordan, 1, 1
Jordan, 17, 1
Jordan, 16, 1
Jordan, 18, 1
Jordan, 30, 1
Jordan, 28, 1
Jordan, 2, 1
Jordan, 12, 1
Jordan, 20, 1
Jordan, 5, 1
Jordan, 3, 1
Jordan, 128, 1
Jordan, 1, 1
Jordan, 26, 1
Jordan, 13, 1
Jordan, 25, 1
Jordan, 5, 1
Jordan, 2, 1
Jordan, 1, 1
Jordan, 8, 1
Jordan, 48, 1
Jordan, 22, 1
Jordan, 16, 1
Jordan, 17, 1
Jordan, 2, 1
Jordan, 151, 1
Jordan, 15, 2
Jordan, 272, 2
Jordan, 128, 2
Jordan, 115, 2
Jordan, 337, 2
Jordan, 19, 2
Jordan, 13, 2
Jordan, 11, 2
Jordan, 263, 2
Jordan, 220, 2
Jordan, 10, 2
Jordan, 7, 2
Jordan, 155, 2
Jordan, 59, 2
Jordan, 79, 2
Jordan, 9, 2
Jordan, 5, 2
Jordan, 9, 2
Jordan, 178, 2
Jordan, 17, 2
Jordan, 103, 2
Jordan, 340, 2
Jordan, 72, 2
Jordan, 7, 2
Jordan, 191, 2
Jordan, 4, 2
Jordan, 20, 2
Jordan, 40, 2
Jordan, 9, 2
Jordan, 4, 2
Jordan, 6, 2
Jordan, 9, 2
Jordan, 16, 2
Jordan, 150, 2
Jordan, 10, 2
Jordan, 148, 2
Jordan, 18, 2
Jordan, 239, 2
Jordan, 9, 2
Jordan, 19, 2
Jordan, 2, 2
Jordan, 185, 2
Jordan, 45, 2
Jordan, 1, 2
Jordan, 41, 2
Jordan, 10, 2
Jordan, 5, 2
Jordan, 16, 2
Jordan, 6, 2
Jordan, 71, 2
Jordan, 68, 2
Jordan, 2052, 3
Jordan, 30, 3
Jordan, 11, 3
Jordan, 217, 3
Jordan, 214, 3
Jordan, 754, 3
Jordan, 332, 3
Jordan, 51, 3
Jordan, 1, 3
Jordan, 49, 3
Jordan, 11, 3
Jordan, 298, 3
Jordan, 22834, 3
Jordan, 2332, 3
Jordan, 128, 3
Jordan, 183, 3
Jordan, 30, 3
Jordan, 58, 3
Jordan, 35, 3
Jordan, 5, 3
Jordan, 161, 3
Jordan, 1720, 3
Jordan, 68, 3
Jordan, 16, 3
Jordan, 16, 3
Jordan, 59, 3
Jordan, 270, 3
Jordan, 606, 3
Jordan, 178, 3
Jordan, 54, 3
Jordan, 38, 3
Jordan, 52, 3
Jordan, 113, 3
Jordan, 150, 3
Jordan, 411, 3
Jordan, 6, 3
Jordan, 1513, 3
Jordan, 3810, 3
Jordan, 6780, 3
Jordan, 657, 3
Jordan, 17, 3
Jordan, 258, 3
Jordan, 52, 3
Jordan, 32, 3
Jordan, 636, 3
Jordan, 2543, 3
Jordan, 409, 3
Jordan, 3584, 3
Jordan, 158, 3
Jordan, 1, 3
Jordan, 14, 3
Jordan, 1663, 3
Jordan, 283, 3
Jordan, 415, 3
Jordan, 16, 3
Jordan, 3, 3
Jordan, 135, 3
Jordan, 34, 3
Jordan, 2054, 3
Jordan, 10, 3
Jordan, 1, 3
Jordan, 150, 3
Jordan, 1414, 3
Jordan, 135, 3
Jordan, 168, 3
Jordan, 262, 3
Jordan, 24, 3
Jordan, 707, 3
Jordan, 117, 3
Jordan, 10424, 3
Jordan, 16, 3
Jordan, 23, 3
Jordan, 285, 3
Jordan, 2639, 3
Jordan, 752, 3
Jordan, 38, 3
Jordan, 96, 3
Jordan, 9, 3
Jordan, 319, 3
Jordan, 87, 3
Jordan, 420, 3
Jordan, 87, 3
Jordan, 389, 3
Jordan, 573, 3
Jordan, 115, 3
Jordan, 7, 3
Jordan, 10, 3
Jordan, 2, 3
Jordan, 10, 3
Jordan, 1, 3
Jordan, 8, 3
Jordan, 3, 3
Jordan, 2, 3
Jordan, 5, 3
Jordan, 4, 3
Jordan, 7, 3
Jordan, 7, 3
Jordan, 72, 3
Jordan, 4, 3
Jordan, 21, 3
Jordan, 32, 3
Jordan, 1, 4
Jordan, 397, 4
Jordan, 443, 4
Jordan, 784, 4
Jordan, 25, 4
Jordan, 753, 4
Jordan, 77, 4
Jordan, 49, 4
Jordan, 15, 4
Jordan, 826, 4
Jordan, 29, 4
Jordan, 38, 4
Jordan, 14, 4
Jordan, 4, 4
Jordan, 230, 4
Jordan, 17, 4
Jordan, 37, 4
Jordan, 5, 4
Jordan, 5, 4
Jordan, 776, 4
Jordan, 261, 4
Jordan, 73, 4
Jordan, 54, 4
Jordan, 109, 4
Jordan, 75, 4
Jordan, 2, 4
Jordan, 369, 4
Jordan, 58, 4
Jordan, 5, 4
Jordan, 206, 4
Jordan, 439, 4
Jordan, 165, 4
Jordan, 954, 4
Jordan, 198, 4
Jordan, 431, 4
Jordan, 618, 4
Jordan, 617, 4
