name, premium, brand, retail_price
Air Max 270 Black Volt, 0.67, Nike, 150
Air Max 270 Black Volt Oil Grey, -27.33, Nike, 150
Air Max 270 Black White, -7.33, Nike, 150
Air Max 270 Bowfin University Red Light Citron, -3.12, Nike, 160
Air Max 270 Doernbecher (2018), 30, Nike, 150
Air Max 270 Dusty Cactus, 14.67, Nike, 150
Air Max 270 Habanero Red, -15.33, Nike, 150
Air Max 270 Light Bone Hot Punch, 20.67, Nike, 150
Air Max 270 Light Bone Hot Punch (GS), 15.83, Nike, 120
Air Max 270 Olive Canvas, -15.33, Nike, 150
Air Max 270 Racer Blue, -20, Nike, 150
Air Max 270 Tea Berry, -23.33, Nike, 150
Air Max 270 Volt, -12.67, Nike, 150
Air Max 270 White Black, -7.33, Nike, 150
Air Max 270 White Metallic Gold Black, -7.33, Nike, 150
Air Max 270 White Pack (Total Orange), -8, Nike, 150
Air Max 270 White Pack (Volt), -8, Nike, 150
Air Max 90 Black Wolf Grey, -22.73, Nike, 110
Air Max 90 Michigan, -10.91, Nike, 110
Air Max 90 NIC, 20.71, Nike, 140
Air Max 90 Night Ops, 21.54, Nike, 130
Air Max 90 Off-White, 445, Nike, 160
Air Max 90 Off-White Black, 296.25, Nike, 160
Air Max 90 South Beach, 8.18, Nike, 110
Air Max 90 Ultra 2.0 Flyknit Bright Crimson, -51.25, Nike, 160
Air Max 90 Ultra Flyknit 2.0 Infrared, 2.5, Nike, 160
Air Max 90 Ultra Flyknit 2.0 Multi-Color, -40, Nike, 160
Air Max 90 Ultramarine, -19.09, Nike, 110
Air Max 90 Varsity Pack University Red, -32.14, Nike, 140
Air Max 90 Wool Cool Grey Mushroom, -32.86, Nike, 140
Air Max 90-1 Sport Red, -6.43, Nike, 140
Air Max 95 Atmos We Love Nike (Bright Crimson), -22.35, Nike, 170
Air Max 95 Carhartt WIP Camo, 7.06, Nike, 170
Air Max 95 ERDL Party Black, 1.05, Nike, 190
Air Max 95 ERDL Party White, -7.89, Nike, 190
Air Max 95 Just Do It Pack Orange, -1.18, Nike, 170
Air Max 95 LA vs. NYC, -7.65, Nike, 170
Air Max 95 OG Black Metallic Gold White, -22.5, Nike, 160
Air Max 95 OG Neon (2015), 82.35, Nike, 170
Air Max 95 OG Neutral Olive Total Orange, -20.63, Nike, 160
Air Max 95 Size UK Safari (2018), -12.57, Nike, 175
Air Max 95 Ultramarine, -29.37, Nike, 160
Air Max 95 Wolf Grey Grape, -26.88, Nike, 160
Air Max 97 Black White, -0.62, Nike, 160
Air Max 97 Bronze, -5.63, Nike, 160
Air Max 97 Corduroy White (W), 8.82, Nike, 170
Air Max 97 Country Camo (France), 2.78, Nike, 180
Air Max 97 Country Camo (Italy), 2.78, Nike, 180
Air Max 97 Country Camo (UK), 15, Nike, 180
Air Max 97 Cristiano Ronaldo Portugal Patchwork, 72.35, Nike, 170
Air Max 97 Cristiano Ronaldo Portugal Patchwork (GS), 40, Nike, 155
Air Max 97 Desert Sky, 24.12, Nike, 170
Air Max 97 Jacket Pack, 2.94, Nike, 170
Air Max 97 Light Blue, -6.87, Nike, 160
Air Max 97 Metallic Gold, 15, Nike, 160
Air Max 97 Metallic Gold (W), 6.25, Nike, 160
Air Max 97 Midnight Navy Habanero Red, -11.25, Nike, 160
Air Max 97 OG Black Volt, 35, Nike, 160
Air Max 97 OG Royal Neon, 0, Nike, 160
Air Max 97 Off-White, 326.84, Nike, 190
Air Max 97 Off-White Black, 254.21, Nike, 190
Air Max 97 Off-White Elemental Rose Serena "Queen", 377.89, Nike, 190
Air Max 97 Overbranding Black, -15.29, Nike, 170
Air Max 97 Overbranding Blue Hero, -6.47, Nike, 170
Air Max 97 Paint Splatter, -3.53, Nike, 170
Air Max 97 Particle Beige, 29.41, Nike, 170
Air Max 97 Plaid Light Cream, -12.94, Nike, 170
Air Max 97 Plus Black White, -28, Nike, 175
Air Max 97 Plus Light Orewood Brown, -20, Nike, 175
Air Max 97 Pull Tab Obsidian White, -1.18, Nike, 170
Air Max 97 Rainforest Team Orange, -22.5, Nike, 160
Air Max 97 Reflective Logo Cream, 11.18, Nike, 170
Air Max 97 Silver Black, -20, Nike, 180
Air Max 97 Silver Bullet 2016-2017 (GS), 52, Nike, 150
Air Max 97 Silver Bullet 2016-2017 (W), 36, Nike, 175
Air Max 97 Silver White, -23.33, Nike, 180
Air Max 97 Smokey Mauve, 36.25, Nike, 160
Air Max 97 South Beach, 24.37, Nike, 160
Air Max 97 South Beach (GS), 12, Nike, 150
Air Max 97 Tiger Camo Olive, -22.35, Nike, 170
Air Max 97 UNDFTD Black, 166.67, Nike, 180
Air Max 97 UNDFTD White, 192.22, Nike, 180
Air Max 97 Ultra 17 Skepta, 51.67, Nike, 180
Air Max 97 Ultra 17 Triple Black, 29.37, Nike, 160
Air Max 97 White Pure Platinum University Red, 4.37, Nike, 160
Air Max 97 White Wolf Grey, 12.5, Nike, 160
Air Max 97-BW Metallic Silver Persian Violet, -41.05, Nike, 190
Air Max 98 Barely Rose (W), -23.12, Nike, 160
Air Max 98 Camo Classic, -31.11, Nike, 180
Air Max 98 Cone, 25, Nike, 180
Air Max 98 Fossil (W), 47.5, Nike, 160
Air Max 98 Gundam (2018), 75, Nike, 160
Air Max 98 Radiant Emerald (W), -25.62, Nike, 160
Air Max 98 Supreme Black, 113.14, Nike, 175
Air Max 98 Supreme Snakeskin, 226.29, Nike, 175
Air Max 98 Thunder Blue, -0.62, Nike, 160
Air Max 98 Tidal Wave, 13.75, Nike, 160
Air Max 98 Triple Red, -1.88, Nike, 160
Air Max 98 White Black Racer Blue, -15, Nike, 160
Air Max 98 Wolf Grey Total Crimson, -15, Nike, 160
Air Max Deluxe Midnight Navy Laser Orange, -6.67, Nike, 180
Air Max Deluxe Photo Blue Orange Peel, 1.67, Nike, 180
Air Max Deluxe Skepta, 2.63, Nike, 190
Air Max Deluxe Triple Black, -22.5, Nike, 200
Air Max Plus 97 Light Orewood Brown, 5.62, Nike, 160
Air Max Plus Alternate Galaxy, 5, Nike, 160
Air Max Plus Frequency Pack, -5.63, Nike, 160
Air Max Plus Metallic Gold (2018), 1.88, Nike, 160
Air Max Plus NIC, 0, Nike, 180
Air Max Plus OG Hyper Blue (2018), 9.38, Nike, 160
Air Max Plus OG Pimento (2018), -3.12, Nike, 160
Air Max Zero Tinker Sketch, -20.67, Nike, 150
Air VaporMax 2 Black Laser Orange Total Crimson, -18.95, Nike, 190
Air VaporMax 2 Black White, -4.21, Nike, 190
Air VaporMax 2 Black White (W), -1.05, Nike, 190
Air VaporMax 2 Crimson Pulse (W), 10, Nike, 190
Air VaporMax 2 Light Cream (W), 5.79, Nike, 190
Air VaporMax 2 Light Cream Racer Blue, -10.53, Nike, 190
Air VaporMax 2 Midnight Purple, -7.89, Nike, 190
Air VaporMax 2 Team Red Obsidian, -13.68, Nike, 190
Air VaporMax 2 Volt, -1.58, Nike, 190
Air VaporMax 2.0 Dusty Cactus Hyper Jade, -17.37, Nike, 190
Air VaporMax 95 Neo Turquoise, -36.84, Nike, 190
Air VaporMax 95 Neon, -8.42, Nike, 190
Air VaporMax 95 Slate, -20, Nike, 190
Air VaporMax 97 Blur (W), -23.16, Nike, 190
Air VaporMax 97 Dark Sea (W), -4.21, Nike, 190
Air VaporMax 97 Grape, -25.26, Nike, 190
Air VaporMax 97 Japan, -6.84, Nike, 190
Air VaporMax 97 Metallic Gold, -8.95, Nike, 190
Air VaporMax Camo, -7.18, Nike, 195
Air VaporMax Clot Bright Crimson, 118, Nike, 200
