type, name, retail_price, total_sales, avg_sale_price, premium
Air Force, Air Force 1 Low Canvas Medium Olive, 100, 4, 63, -37
Air Force, Air Force 1 Low Carhartt WIP Ale Brown, 130, 715, 126, -3.08
Air Force, Air Force 1 Low Carhartt WIP Ale Brown (GS), 100, 12, 89, -11
Air Force, Air Force 1 Low Carhartt WIP Ale Brown (PS), 70, 1, 95, 35.71
Air Force, Air Force 1 Low Carhartt WIP Ale Brown (TD), 58, 6, 63, 8.62
Air Force, Air Force 1 Low Caribana Festival Toronto, 120, 205, 89, -25.83
Air Force, Air Force 1 Low Carnival Orange (2017), 140, 3, 87, -37.86
Air Force, Air Force 1 Low Chicago (2016), 120, 31, 85, -29.17
Air Force, Air Force 1 Low China (2007), 125, 1, 95, -24
Air Force, Air Force 1 Low Christmas (2005), 90, 1, 140, 55.56
Air Force, Air Force 1 Low City Pride Atlanta, 100, 29, 131, 31
Air Force, Air Force 1 Low Clay Green Marble, 100, 15, 61, -39
Air Force, Air Force 1 Low Clot Spider Web, 450, 9, 1074, 138.67
Air Force, Air Force 1 Low Clot Star All Over, 450, 4, 1413, 214
Air Force, Air Force 1 Low Clot x DSM Silk, 450, 1, 1600, 255.56
Air Force, Air Force 1 Low Collection Royale (LeBron), 150, 15, 112, -25.33
Air Force, Air Force 1 Low Crest Logo Black, 90, 2, 100, 11.11
Air Force, Air Force 1 Low Crest Logo White, 90, 1, 100, 11.11
Air Force, Air Force 1 Low Crocodile Lux 25th Anniv, 2000, 19, 950, -52.5
Air Force, Air Force 1 Low DJ Clark Kent Black Friday, 150, 6, 298, 98.67
Air Force, Air Force 1 Low DJ Clark Kent East vs. West, 135, 2, 175, 29.63
Air Force, Air Force 1 Low DJ Premier, 135, 14, 251, 85.93
Air Force, Air Force 1 Low Dark Grey Cool Grey Red, 100, 1, 90, -10
Air Force, Air Force 1 Low Dark Grey Glow, 90, 4, 95, 5.56
Air Force, Air Force 1 Low De Lo Mio, 165, 1522, 257, 55.76
Air Force, Air Force 1 Low Deep Burgundy Gum, 100, 1, 71, -29
Air Force, Air Force 1 Low Desert Camo Bio Beige, 100, 48, 77, -23
