brand, name, retail_price, total_sales, avg_sale_price
Jordan, Jordan 13 Retro He Got Game (2018), 190, 6035, 210
Nike, Air Max 95 ERDL Party White, 190, 635, 175
Jordan, Jordan 12 Retro Bordeaux, 190, 857, 176
Adidas, adidas Human Race NMD Pharrell Multi-Color, 240, 1415, 327
Jordan, Jordan 11 Retro Win Like 96 (GS), 170, 980, 201
Jordan, Jordan 1 Retro Yin Yang Black, 160, 1009, 127
Nike, Air Foamposite One Habanero Red, 230, 594, 189
Adidas, adidas Ultra Boost Mid Kith x Nonnative, 240, 823, 207
Jordan, Jordan 1 Retro Black Toe (2016), 160, 1445, 477
Jordan, Jordan 1 Retro High Gold Top 3, 160, 660, 463
Jordan, Jordan 12 Retro Flu Game (2016), 190, 2005, 271
Jordan, Jordan 1 Mid Patent Black White Gold, 110, 1385, 167
Nike, Nike Killshot 2 J Crew Sail Midnight Navy, 90, 1792, 124
Jordan, Jordan 11 Retro Legend Blue (2014), 200, 2263, 266
Jordan, Jordan 1 Retro Shattered Backboard, 160, 738, 771
Nike, Air Max 95 OG Neutral Olive Total Orange, 160, 628, 127
Adidas, adidas Ultra Boost Clima Black, 220, 1369, 191
Jordan, Jordan 4 Retro Levi's Denim (Tag with Levi's Logo), 225, 788, 623
Jordan, Jordan 3 Retro Wool, 200, 573, 119
Jordan, Jordan 11 Retro Low Iridescent, 175, 3719, 184
Adidas, adidas Pharrell NMD HU China Pack Peace (Blue), 250, 717, 445
Jordan, Jordan 1 Retro High Track Red, 160, 1457, 296
Nike, Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box), 160, 6455, 286
Adidas, adidas NMD R1 Japan Triple White, 180, 2087, 179
Nike, Air Max 270 Bowfin Black Desert, 160, 662, 180
Jordan, Jordan 17 Retro Low SoleFly Alternate Lightning, 225, 622, 354
Nike, Air Force 1 High PSNY Grey, 200, 504, 245
Jordan, Jordan 1 Retro High Shadow 2018 (GS), 120, 5030, 155
Jordan, Jordan 6 Retro Maroon (2015), 220, 1097, 202
Jordan, Jordan 8 Retro Take Flight "Undefeated", 190, 567, 183
Nike, Flyknit Trainer White Black (2017), 150, 573, 230
Nike, Air Zoom Generation Wheat Retro, 225, 507, 166
Jordan, Jordan 9 Retro Bred Patent, 190, 5053, 221
Other, Vans Old Skool NASA Space Voyager Firecracker, 85, 1107, 105
Adidas, adidas Ultra Boost 4.0 Orca, 180, 644, 152
Nike, Nike SB Gato Supreme Red, 110, 934, 144
Adidas, adidas Alphaedge 4D White, 300, 1249, 342
Jordan, Jordan 11 Retro Concord (2018), 220, 28836, 282
Adidas, adidas Ultra Boost 3.0 Dark Burgundy, 180, 505, 136
Nike, Air VaporMax Plus Hyper Blue, 190, 577, 192
Nike, Nike SB Dunk Low Concepts Purple Lobster (Special Packaging), 130, 531, 351
Adidas, adidas NMD R1 Tri Color Stripes Black, 170, 566, 225
Jordan, Jordan 1 Retro High RE2PECT (Derek Jeter), 160, 1004, 189
Nike, LeBron 16 1 Thru 5 (What The), 200, 1954, 330
Nike, Air Force 1 Low Off-White, 170, 854, 995
Jordan, Jordan 4 Retro Pure Money 2017 (GS), 140, 790, 150
Nike, Air Max 1 Watermelon, 110, 1360, 131
Jordan, Jordan 12 Retro Gym Red (2018), 190, 3962, 193
Nike, Air Fear Of God 1 Light Bone, 395, 1588, 894
Jordan, Jordan 1 Mid White Black, 110, 2802, 129
Nike, Air Force 1 Low CLOT 1WORLD (2018), 200, 1718, 377
Jordan, Jordan 10 Retro Double Nickel, 190, 582, 180
Jordan, Jordan 1 Rebel XX Chicago (W), 145, 1808, 167
Jordan, Jordan 6 Retro Wheat, 190, 1195, 137
Adidas, adidas Yeezy Boost 350 V2 Static, 220, 17434, 283
Nike, Air Max 1 Curry (2018), 150, 976, 112
Nike, Air Max 270 Black Hot Punch, 150, 664, 163
Nike, Air Max 97 White Wolf Grey, 160, 1182, 180
Nike, Air Force 1 Low Supreme x Comme des Garcons (2018), 165, 3621, 298
Jordan, Jordan 1 Retro Mid New Love (2017), 110, 810, 283
Nike, Air Max 98 Cone, 180, 2567, 225
Nike, Air Vapormax Off White 2018, 250, 6410, 592
Jordan, Jordan 1 Retro High Nigel Sylvester, 180, 4083, 339
Other, Vans Sk8-Hi Deconstructed Black, 115, 658, 239
Jordan, Jordan 3 Retro Cyber Monday (2016), 190, 606, 133
Nike, Nike SB Dunk Low Doernbecher (2018), 90, 1313, 192
Jordan, Jordan 1 Retro High Blue Moon, 160, 7353, 235
Nike, Air Max 97 Smokey Mauve, 160, 610, 218
Nike, Nike SB Gato Supreme White, 110, 1745, 151
Nike, Air VaporMax Utility Triple Black, 225, 944, 199
Jordan, Jordan 3 Retro Flyknit Black, 200, 1513, 232
Jordan, Jordan 13 Retro Carmelo Anthony Class Of 2002 (B-Grade), 190, 3318, 131
Other, Converse Chuck Taylor All-Star 70s Hi Kith x Coca Cola Red, 150, 832, 327
Jordan, Jordan 1 Retro Royal (2017), 160, 5396, 265
Jordan, Jordan 13 Retro Olive, 190, 1049, 128
Jordan, Jordan 3 Retro Pure White (2018), 190, 2054, 165
Jordan, Jordan 5 Retro Laney (2013), 170, 524, 190
Other, Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY White, 120, 1248, 141
Jordan, Jordan 3 Retro International Flight, 190, 2543, 168
Jordan, Jordan 12 Retro Chinese New Year, 250, 704, 266
Nike, Air VaporMax Flyknit 2 White Vast Grey, 190, 525, 172
Adidas, adidas NMD Hu Pharrell Inspiration Pack White, 250, 2328, 231
Jordan, Jordan 10 Retro Shadow (2018), 190, 2070, 153
Jordan, Jordan 4 Retro Fire Red Singles Day 2018 (W), 190, 954, 175
Adidas, adidas Ultra Boost 4.0 Running White, 180, 5652, 136
Adidas, adidas NMD Racer Juice HK, 220, 640, 131
Adidas, adidas Ultra Boost 4.0 Dark Mocha, 180, 675, 127
Adidas, adidas Yung-1 Dragon Ball Z Frieza, 150, 2464, 199
Adidas, adidas Falcon Core Black Light Granite, 150, 735, 139
Adidas, adidas NMD R1 Core Black Lush Red (2015-2017), 170, 994, 251
Nike, Air VaporMax 97 Metallic Gold, 190, 1380, 173
Jordan, Jordan 1 Retro High Flyknit Bred, 180, 977, 138
Jordan, Jordan 11 Retro Low Iridescent (GS), 130, 1007, 163
Nike, Nike PG 2 Playstation, 110, 954, 526
Nike, Kobe AD Sail Multi-Color, 140, 801, 189
Jordan, Jordan Legacy 312 Storm Blue, 160, 1776, 220
Jordan, Jordan 4 Retro Travis Scott Cactus Jack, 225, 18198, 380
Jordan, Jordan 1 Retro High Aleali May Court Lux (W), 160, 1677, 213
Adidas, adidas Ultra Boost 4.0 Triple Black Nubuck Cage, 180, 1370, 171
Jordan, Jordan 11 Retro Concord (2011), 175, 728, 386
Nike, LeBron 15 Air Max 95, 200, 616, 246
Adidas, adidas NMD Hu Pharrell Inspiration Pack Clear Sky, 250, 2013, 232
Jordan, Jordan 4 Retro Kaws Black, 350, 1238, 782
Jordan, Jordan 1 Retro High Gatorade Cyber, 175, 972, 148
Jordan, Jordan 3 Retro Free Throw Line White Cement, 200, 3810, 417
Nike, Air VaporMax Moc 2 Acronym Black, 225, 1045, 233
Jordan, Jordan 12 Retro International Flight, 200, 3736, 198
Jordan, Jordan 1 Mid South Beach (GS), 90, 1617, 125
Nike, Nike SB Dunk Low Concepts Green Lobster (Special Box), 100, 1141, 507
Nike, Air Max 97 Silver Bullet (2016-2017), 170, 1679, 263
Jordan, Jordan 7 Retro Hare (2015), 190, 948, 193
Jordan, Jordan 1 Retro Royal 2017 (GS), 120, 992, 195
Jordan, Jordan 11 Retro Low Bleached Coral (GS), 130, 1037, 155
Adidas, adidas Ultra Boost 4.0 Parley Carbon Blue Spirit, 180, 740, 126
Adidas, adidas Yeezy Boost 350 V2 Beluga 2.0, 220, 15680, 418
Jordan, Jordan 1 Retro High Homage To Home (Non-numbered), 160, 26337, 270
Nike, Air Max 97 Metallic Gold, 160, 4101, 184
Nike, Kyrie 4 All-Star (2018), 120, 782, 131
Jordan, Jordan 12 Retro Deep Royal Blue, 190, 916, 223
Jordan, Jordan 7 Retro Bordeaux (2015), 190, 1003, 223
Adidas, adidas NMD R1 Marble Aero Green, 170, 713, 101
Jordan, Jordan 8 Retro Cool Grey, 190, 529, 162
Jordan, Jordan 1 Retro High Spider-Man Origin Story, 160, 15200, 291
Nike, Air Max 98 Tour Yellow, 160, 527, 206
Other, Balenciaga Triple S Grey Red Blue (2018 Reissue), 950, 526, 1015
Nike, Nike M2K Tekno Phantom Olive Grey, 100, 630, 145
Jordan, Jordan 4 Retro Levi's White (Levi's Tag), 225, 1154, 450
Adidas, adidas Ultra Boost 4 Show Your Stripes Black, 180, 1326, 128
Nike, Air Max 97 UNDFTD Black, 180, 796, 480
